[-0.00820541 -0.40696178], [0], 0.0, [0.04940418 1.59166116], False, False;
[0.04940418 1.59166116], [2], 0.0, [0.1352717  0.17820609], False, False;
[0.1352717  0.17820609], [2], 0.0, [ 0.0878257  -1.15649632], False, False;
[ 0.0878257  -1.15649632], [0], 0.0, [0.05536981 0.48976399], False, False;
[0.05536981 0.48976399], [2], 0.0, [ 0.02965101 -1.01941331], False, False;
[ 0.02965101 -1.01941331], [0], 0.0, [0.00084945 0.42700364], False, False;
[0.00084945 0.42700364], [1], 0.0, [0.06160637 0.82269117], False, False;
[0.06160637 0.82269117], [2], 0.0, [ 0.08284126 -0.3852448 ], False, False;
[ 0.08284126 -0.3852448 ], [1], 0.0, [ 0.04224693 -0.44996372], False, False;
[ 0.04224693 -0.44996372], [0], 0.0, [0.09317302 1.49594492], False, False;
[0.09317302 1.49594492], [2], 0.0, [0.19401315 0.58257119], False, False;
[0.19401315 0.58257119], [2], 0.0, [ 0.19408966 -0.58099147], False, False;
[ 0.19408966 -0.58099147], [1], 0.0, [0.17485212 0.18585678], False, False;
[0.17485212 0.18585678], [2], 0.0, [ 0.1495643  -0.70729152], False, False;
[ 0.1495643  -0.70729152], [1], 0.0, [ 0.09279861 -0.46017346], False, False;
[ 0.09279861 -0.46017346], [1], 0.0, [ 0.06955163 -0.01788089], False, False;
[ 0.06955163 -0.01788089], [1], 0.0, [ 0.06448341 -0.08639933], False, False;
[ 0.06448341 -0.08639933], [1], 0.0, [ 0.05511562 -0.10633471], False, False;
[ 0.05511562 -0.10633471], [1], 0.0, [ 0.04445089 -0.11307795], False, False;
[ 0.04445089 -0.11307795], [1], 0.0, [0.04670671 0.15948029], False, False;
[0.04670671 0.15948029], [1], 0.0, [0.05853386 0.0838609 ], False, False;
[0.05853386 0.0838609 ], [1], 0.0, [0.07503907 0.2556619 ], False, False;
[0.07503907 0.2556619 ], [2], 0.0, [ 0.02085111 -1.37180002], False, False;
[ 0.02085111 -1.37180002], [0], 0.0, [-0.02737985  0.37935015], False, False;
[-0.02737985  0.37935015], [1], 0.0, [-0.00279535  0.12640199], False, False;
[-0.00279535  0.12640199], [0], 0.0, [0.09758327 1.93627615], False, False;
[0.09758327 1.93627615], [2], 0.0, [0.24529346 1.10845543], False, False;
[0.24529346 1.10845543], [2], 0.0, [0.32012145 0.43609216], False, False;
[0.32012145 0.43609216], [2], 0.0, [ 0.32044906 -0.42931976], False, False;
[ 0.32044906 -0.42931976], [2], 0.0, [ 0.25699371 -0.87945907], False, False;
[ 0.25699371 -0.87945907], [2], 0.0, [ 0.11177644 -2.11774051], False, False;
[ 0.11177644 -2.11774051], [0], 0.0, [-0.00926818 -0.36927463], False, False;
[-0.00926818 -0.36927463], [0], 0.0, [0.02310267 1.03520685], False, False;
[0.02310267 1.03520685], [2], 0.0, [ 0.03611823 -0.76719428], False, False;
[ 0.03611823 -0.76719428], [0], 0.0, [0.0393965  0.83459096], False, False;
[0.0393965  0.83459096], [2], 0.0, [ 0.0486268  -0.64449976], False, False;
[ 0.0486268  -0.64449976], [0], 0.0, [0.08620783 1.41633777], False, False;
[0.08620783 1.41633777], [2], 0.0, [0.17068373 0.32514301], False, False;
[0.17068373 0.32514301], [2], 0.0, [ 0.15571821 -0.63378612], False, False;
[ 0.15571821 -0.63378612], [1], 0.0, [ 0.10688391 -0.37053189], False, False;
[ 0.10688391 -0.37053189], [1], 0.0, [ 0.07350069 -0.31625864], False, False;
[ 0.07350069 -0.31625864], [1], 0.0, [ 0.05706915 -0.02171285], False, False;
[ 0.05706915 -0.02171285], [1], 0.0, [ 0.05078609 -0.10756116], False, False;
[ 0.05078609 -0.10756116], [1], 0.0, [ 0.03265241 -0.26554481], False, False;
[ 0.03265241 -0.26554481], [0], 0.0, [0.08982673 1.44023535], False, False;
[0.08982673 1.44023535], [2], 0.0, [0.16955276 0.2038369 ], False, False;
[0.16955276 0.2038369 ], [2], 0.0, [ 0.14498958 -0.71031582], False, False;
[ 0.14498958 -0.71031582], [1], 0.0, [0.11050852 0.00171751], False, False;
[0.11050852 0.00171751], [1], 0.0, [0.14302535 0.6665748 ], False, False;
[0.14302535 0.6665748 ], [2], 0.0, [ 0.15046187 -0.51317468], False, False;
[ 0.15046187 -0.51317468], [1], 0.0, [0.13294205 0.15313679], False, False;
[0.13294205 0.15313679], [2], 0.0, [ 0.07127108 -1.42493656], False, False;
[ 0.07127108 -1.42493656], [0], 0.0, [0.0129916 0.2269933], False, False;
[0.0129916 0.2269933], [1], 0.0, [0.03295926 0.18381007], False, False;
[0.03295926 0.18381007], [1], 0.0, [0.06964958 0.5708249 ], False, False;
[0.06964958 0.5708249 ], [2], 0.0, [ 0.03975529 -1.18676503], False, False;
[ 0.03975529 -1.18676503], [0], 0.0, [-0.00041385  0.36063294], False, False;
[-0.00041385  0.36063294], [1], 0.0, [0.04785683 0.63233109], False, False;
[0.04785683 0.63233109], [2], 0.0, [ 0.04836038 -0.62196173], False, False;
[ 0.04836038 -0.62196173], [0], 0.0, [0.07586939 1.18712589], False, False;
[0.07586939 1.18712589], [1], 0.0, [0.22169431 1.80878829], False, False;
[0.22169431 1.80878829], [2], 0.0, [0.3644805  1.13830261], False, False;
[0.3644805  1.13830261], [2], 0.0, [0.4747744  1.13449491], False, False;
[0.4747744  1.13449491], [2], 0.0, [0.60033965 1.45043841], False, False;
[0.60033965 1.45043841], [2], 0.0, [0.78081137 2.25503322], False, False;
[0.78081137 2.25503322], [1], 0.0, [1.12310949 4.6571073 ], False, False;
[1.12310949 4.6571073 ], [1], -1.0, [1.72727323 7.48965925], True, True;
